id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
1398232054662861e3,Yes,Victoria-Fraserview,Other,Entire home/apt,5,1,2,107,5,5.13,Other
739849030750707e3,Yes,Downtown,Other,Entire home/apt,4,1,1,208,4.95,1.32,Downtown
10867374,No,Downtown,Entire condo,Entire home/apt,2,1,1,214,4.45,0.32,Downtown
46215685,Unknown,West End,Entire rental unit,Entire home/apt,4,1,1,190,4.78,4.38,Other
1493077797738403600,No,Shaughnessy,Private room in home,Private room,2,2,1,50,2,1.46,Other
1100426425967394400,No,Hastings-Sunrise,Entire home,Entire home/apt,9,3,5,282,4.48,2.96,Other
1362637033586901800,Yes,Riley Park,Other,Entire home/apt,2,1,1,113,4.83,2.9,Other
1244569412035747300,No,Riley Park,Entire rental unit,Entire home/apt,2,1,1,100,5,0.43,Other
990926767571692300,Yes,Downtown,Entire rental unit,Entire home/apt,3,1,1,166,4.74,1.39,Downtown
50553610,Yes,West End,Entire home,Entire home/apt,1,1,1,81,4.7,0.19,Other
33811246,Yes,Kerrisdale,Private room in home,Private room,2,1,1,73,4.86,1.39,Other
674891436783527e3,Yes,Downtown Eastside,Other,Entire home/apt,2,1,1,245,5,0.31,Downtown Eastside
1349463578917417e3,No,West Point Grey,Other,Private room,2,0.5,1,85,NA,NA,Other
23485127,Yes,Kitsilano,Other,Entire home/apt,4,1,2,234,4.93,1.27,Kitsilano
1512638190493478400,No,Downtown,Entire rental unit,Entire home/apt,6,2,3,198,4.88,4.8,Downtown
1356363107107855600,No,Mount Pleasant,Private room in home,Private room,1,1,1,35,3.5,0.24,Mount Pleasant
1325717762721698300,No,Renfrew-Collingwood,Other,Entire home/apt,4,1,2,142,4.86,3.64,Other
759477268573006100,Yes,Kensington-Cedar Cottage,Entire home,Entire home/apt,2,1,1,158,4.94,1.05,Other
754351012228861800,No,Mount Pleasant,Private room in home,Private room,2,1,1,64,1,0.03,Mount Pleasant
629646595967645600,Yes,Hastings-Sunrise,Private room in home,Private room,1,1,1,56,4.94,3.07,Other
897438733510981100,No,Kitsilano,Entire rental unit,Entire home/apt,4,1,2,272,4.77,0.45,Kitsilano
464172,Yes,Hastings-Sunrise,Entire home,Entire home/apt,4,1,2,162,4.74,0.31,Other
1310877529750182e3,Yes,Mount Pleasant,Entire rental unit,Entire home/apt,3,1,2,166,4.96,2.58,Mount Pleasant
909717940030012200,No,Downtown Eastside,Entire rental unit,Entire home/apt,6,2,3,156,4.63,2.39,Downtown Eastside
43639445,Yes,Downtown,Entire rental unit,Entire home/apt,4,1,1,158,3,0.03,Downtown
1383621336236770800,Yes,Sunset,Entire home,Entire home/apt,4,1.5,2,132,4.89,8.98,Other
1476978835103275e3,No,West Point Grey,Entire home,Entire home/apt,4,1,2,115,4.88,4.49,Other
973301434236164700,Yes,Kitsilano,Entire rental unit,Entire home/apt,3,1,1,166,4.89,3.81,Kitsilano
13858633,No,Downtown,Entire condo,Entire home/apt,5,2,2,270,4.56,0.24,Downtown
691733045339903200,Yes,Kensington-Cedar Cottage,Private room in home,Private room,2,1,1,46,4.89,1,Other
1399530578818772200,No,Marpole,Other,Private room,2,1,1,92,4.29,0.99,Other
1156125014499199e3,Yes,Downtown,Entire condo,Entire home/apt,6,2,3,512,4.93,1.61,Downtown
1326338691435229700,No,Hastings-Sunrise,Other,Entire home/apt,4,1,2,101,4.64,2.65,Other
43629286,No,Downtown,Entire rental unit,Entire home/apt,4,1,1,80,4.76,4.79,Downtown
1021246073242934e3,Yes,Victoria-Fraserview,Private room in home,Private room,1,1,1,49,5,1.29,Other
910153011106323e3,Yes,Renfrew-Collingwood,Other,Entire home/apt,4,1.5,2,128,4.96,1.62,Other
1478481680625829400,No,Arbutus Ridge,Private room in home,Private room,4,1,2,79,4.75,1.14,Other
1285238728509611e3,Unknown,Kitsilano,Entire rental unit,Entire home/apt,4,1.5,2,630,5,1.47,Kitsilano
41293218,No,Dunbar Southlands,Other,Entire home/apt,4,2,2,165,4.74,2.33,Other
631438486789552600,No,Downtown,Entire rental unit,Entire home/apt,4,1,1,210,4.87,3.14,Downtown
14237741,Yes,Grandview-Woodland,Other,Entire home/apt,2,1,1,119,4.92,1.18,Other
48487736,No,Kitsilano,Entire condo,Entire home/apt,3,1,1,84,4.8,0.1,Kitsilano
774867293948514200,No,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,109,4.6,1.62,Downtown Eastside
1113965884533489800,No,Mount Pleasant,Entire rental unit,Entire home/apt,6,1,2,235,5,0.26,Mount Pleasant
1267038386922521900,No,Downtown,Entire rental unit,Entire home/apt,5,1,2,175,4.64,4.34,Downtown
1512601683022243300,Yes,Hastings-Sunrise,Entire rental unit,Entire home/apt,2,1,1,168,NA,NA,Other
14296335,No,Kensington-Cedar Cottage,Private room in home,Private room,2,1,1,92,4.7,2.61,Other
832751454467785200,Yes,West End,Entire condo,Entire home/apt,2,1,1,124,5,0.23,Other
702876444293572100,Yes,Kensington-Cedar Cottage,Entire home,Entire home/apt,4,1,2,195,4.96,3.44,Other
1174101774567960300,Yes,Downtown,Entire rental unit,Entire home/apt,4,1,2,152,4.92,7.5,Downtown
782725694993661300,Yes,Downtown,Other,Entire home/apt,6,1,2,261,4.5,0.07,Downtown
1086579371943686100,Yes,Riley Park,Other,Private room,2,1,1,55,4.63,1.9,Other
942845820466885500,No,Fairview,Entire condo,Entire home/apt,2,2,2,188,NA,NA,Other
21298863,No,Riley Park,Entire home,Entire home/apt,3,2,2,160,5,0.71,Other
1144952682247308e3,No,Hastings-Sunrise,Private room in home,Private room,1,1,1,55,NA,NA,Other
717551955250963700,Yes,Mount Pleasant,Entire rental unit,Entire home/apt,4,1,0,98,4.75,3.63,Mount Pleasant
1200179761551084e3,No,Shaughnessy,Private room in home,Private room,4,1,1,162,3.5,0.13,Other
1491495888296265200,No,Downtown,Other,Private room,1,1,1,57,NA,NA,Downtown
1188659600724648700,No,Downtown,Entire rental unit,Entire home/apt,3,1,2,179,4.89,0.54,Downtown
686355130754184300,Yes,Downtown Eastside,Other,Entire home/apt,3,1,1,149,4.84,7.63,Downtown Eastside
851553094309845600,No,Mount Pleasant,Entire condo,Entire home/apt,3,1,2,133,4.44,0.29,Mount Pleasant
1138052009610503800,No,Downtown,Entire rental unit,Entire home/apt,6,1,3,250,4.57,1.9,Downtown
856504689681093600,No,Downtown,Entire rental unit,Entire home/apt,6,2,2,344,4.74,3.68,Downtown
1527763530718602200,No,Kerrisdale,Private room in home,Private room,4,2,1,72,5,0.81,Other
985716500423410400,No,Grandview-Woodland,Entire home,Entire home/apt,4,1,2,129,4.56,2.55,Other
660499994123684700,Yes,Kensington-Cedar Cottage,Entire home,Entire home/apt,4,1,2,178,4.95,2.14,Other
691995610022725200,Yes,Marpole,Other,Entire home/apt,5,1,2,170,4.9,3.6,Other
1173218546049577700,Yes,Renfrew-Collingwood,Other,Entire home/apt,2,1,1,110,4.88,3.56,Other
50142402,No,West End,Entire condo,Entire home/apt,4,2,2,150,3,0.02,Other
1482677054530584300,No,Arbutus Ridge,Private room in home,Private room,2,0,1,48,5,2.38,Other
35222652,Yes,Downtown,Entire condo,Entire home/apt,3,1,1,171,4.87,3.95,Downtown
1203678164398272300,No,Downtown Eastside,Entire home,Entire home/apt,4,2.5,1,312,4.89,0.58,Downtown Eastside
1178149,No,Hastings-Sunrise,Other,Entire home/apt,2,1,1,117,4.92,1.13,Other
1118858,No,West End,Private room in home,Private room,2,1,1,75,4.55,0.4,Other
765253488994188400,No,Downtown,Entire rental unit,Entire home/apt,4,2,2,411,4.46,0.37,Downtown
757304615588117900,Yes,Grandview-Woodland,Entire rental unit,Entire home/apt,4,1,2,165,4.91,3.39,Other
1498962917655958e3,No,Kensington-Cedar Cottage,Entire home,Entire home/apt,6,1,2,163,4.8,2.5,Other
1159750376796831e3,Yes,Kensington-Cedar Cottage,Private room in home,Private room,4,1,2,97,5,1.33,Other
43807042,Yes,Downtown,Entire rental unit,Entire home/apt,2,1,1,138,5,0.15,Downtown
919008235292911100,Yes,Kensington-Cedar Cottage,Other,Entire home/apt,4,1.5,2,230,4.8,2.83,Other
14029073,Yes,Hastings-Sunrise,Private room in home,Private room,2,1,1,99,4.67,0.79,Other
52596989,Yes,Mount Pleasant,Other,Entire home/apt,4,2,2,299,5,0.22,Mount Pleasant
898831137152689900,Yes,Kensington-Cedar Cottage,Entire home,Entire home/apt,3,1,1,114,4.95,2.79,Other
2042431,Yes,Downtown,Entire rental unit,Entire home/apt,3,1,1,120,4.9,0.99,Downtown
51110447,No,Marpole,Other,Private room,1,1,1,80,5,0.04,Other
44337002,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,105,4.29,0.11,Downtown
22032043,Yes,Kitsilano,Other,Entire home/apt,4,1,2,192,4.79,1.22,Kitsilano
28674567,Yes,Downtown,Entire condo,Entire home/apt,5,2,2,202,4.91,4.74,Downtown
1371443010654459400,Yes,Downtown Eastside,Entire condo,Entire home/apt,4,1,1,154,4.88,6.06,Downtown Eastside
48098921,No,West End,Entire rental unit,Entire home/apt,2,1,0,89,4.5,0.04,Other
608053030891574400,No,Kitsilano,Other,Entire home/apt,4,1,2,280,4.83,0.32,Kitsilano
35922487,Yes,Sunset,Entire home,Entire home/apt,4,1,2,98,4.84,2.9,Other
52554167,Yes,Downtown Eastside,Other,Entire home/apt,4,1,1,179,4.82,3.62,Downtown Eastside
629739194988143600,No,Downtown,Entire condo,Entire home/apt,3,1,1,114,4.64,0.34,Downtown
1521521326186114300,No,Downtown,Entire rental unit,Entire home/apt,4,1,1,96,NA,NA,Downtown
1512559332484103400,No,Killarney,Other,Entire home/apt,3,1,2,209,5,4.74,Other
49111180,No,Downtown,Entire condo,Entire home/apt,3,1,1,110,5,0.03,Downtown
1373993683648351700,Yes,Sunset,Other,Entire home/apt,2,1,1,76,4.61,3.62,Other
2384083,No,Mount Pleasant,Entire home,Entire home/apt,4,2,3,205,NA,NA,Mount Pleasant
23771188,No,Downtown,Entire condo,Entire home/apt,2,1,1,149,NA,NA,Downtown
1286351905966327e3,Yes,Downtown,Entire rental unit,Entire home/apt,2,1,1,507,5,0.67,Downtown
1300827457057921500,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,146,4.63,1.72,Downtown
1484118847856759e3,No,Dunbar Southlands,Private room in home,Private room,2,1,1,123,4.5,0.71,Other
1317642667374983200,Yes,Downtown,Entire condo,Entire home/apt,3,1,1,76,5,0.26,Downtown
1503103584196454e3,Yes,Downtown Eastside,Entire condo,Entire home/apt,6,2,2,454,5,4.48,Downtown Eastside
914716682730240100,No,Marpole,Private room in home,Private room,2,1,1,63,4.37,1.68,Other
1.4424246642513439e+18,No,Kensington-Cedar Cottage,Other,Entire home/apt,4,1,2,119,NA,NA,Other
1382767561929755600,No,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,146,4.67,2.12,Downtown Eastside
933503883855879e3,Yes,Renfrew-Collingwood,Entire home,Entire home/apt,5,1,2,118,4.81,4.47,Other
1332882237620898300,Yes,Shaughnessy,Private room in home,Private room,2,1,1,146,4.67,0.91,Other
1105077989339548900,No,Downtown,Entire condo,Entire home/apt,4,1,1,270,4.74,3.71,Downtown
1533720778890318e3,No,Dunbar Southlands,Entire home,Entire home/apt,2,1,1,100,NA,NA,Other
1178278119324868600,No,Downtown Eastside,Entire rental unit,Entire home/apt,2,1,1,159,4.69,0.95,Downtown Eastside
34895728,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,120,4.75,0.06,Downtown
1186369399980777500,Yes,Shaughnessy,Other,Entire home/apt,4,1,1,118,4.87,2.88,Other
1015384946844917900,No,Mount Pleasant,Private room in home,Private room,1,1,1,55,1,0.04,Mount Pleasant
4568364,Yes,West Point Grey,Entire home,Entire home/apt,6,1,2,156,4.79,3.14,Other
1434754378392565e3,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,96,NA,NA,Downtown
1533521736463095e3,No,West End,Entire condo,Entire home/apt,5,2,2,404,NA,NA,Other
25314294,Yes,Fairview,Entire condo,Entire home/apt,3,1,1,85,4.55,0.22,Other
52799181,No,Downtown,Entire condo,Entire home/apt,2,0,1,125,5,0.04,Downtown
1155905585137035800,No,Hastings-Sunrise,Private room in home,Private room,1,1,1,66,NA,NA,Other
771380,Yes,Downtown,Other,Entire home/apt,6,2,2,270,4.67,0.1,Downtown
1306738456816944600,No,Dunbar Southlands,Private room in home,Private room,2,1,1,93,NA,NA,Other
1420643490657016600,Yes,Downtown,Entire rental unit,Entire home/apt,4,2,2,225,5,3.88,Downtown
1307058256429252600,No,West End,Other,Private room,2,1,1,124,4.63,3.4,Other
1507654826072423e3,No,Downtown Eastside,Entire condo,Entire home/apt,3,1,1,219,NA,NA,Downtown Eastside
758959053155875300,No,Downtown Eastside,Entire condo,Entire home/apt,5,2,2,383,4.61,2.04,Downtown Eastside
54365910,Yes,Downtown,Other,Entire home/apt,2,1,0,174,5,0.05,Downtown
1289397022391886800,Yes,Shaughnessy,Private room in home,Private room,2,1,1,158,5,2.57,Other
969770073141479800,Yes,Strathcona,Entire rental unit,Entire home/apt,3,1,1,173,4.95,2.7,Other
1018937441498951800,Yes,Kitsilano,Entire rental unit,Entire home/apt,4,1,1,198,4.88,4.4,Kitsilano
1069032467432931600,No,Killarney,Entire home,Entire home/apt,4,1,2,160,4.77,3.77,Other
1306959383687407e3,No,Downtown Eastside,Entire rental unit,Entire home/apt,5,2,2,264,4.5,0.18,Downtown Eastside
990959538712164600,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,5,1,1,99,4.68,1.46,Downtown Eastside
1292906483966120200,No,Mount Pleasant,Private room in home,Private room,2,1,1,83,NA,NA,Mount Pleasant
1217466156039820300,Yes,Sunset,Entire home,Entire home/apt,4,1,2,183,5,3.04,Other
800970191867596e3,Yes,Hastings-Sunrise,Entire home,Entire home/apt,14,3,6,341,4.98,1.31,Other
50057849,Yes,Downtown,Entire condo,Entire home/apt,4,1,2,143,4.96,0.89,Downtown
26779568,Yes,Fairview,Entire condo,Entire home/apt,3,1,1,90,4.81,0.18,Other
1490658094749432800,No,West Point Grey,Entire home,Entire home/apt,5,2,2,155,4.8,2,Other
21912838,Yes,Kitsilano,Other,Entire home/apt,2,1,1,155,4.93,5.1,Kitsilano
914558293896528100,No,Marpole,Other,Entire home/apt,2,3,1,94,4.36,2.67,Other
945034396681574400,No,Marpole,Private room in home,Private room,1,1,1,43,4.61,1.22,Other
1055334539209037e3,Yes,Downtown,Entire rental unit,Entire home/apt,6,1,1,69,4.67,6.5,Downtown
1469950761653379e3,No,Kerrisdale,Other,Entire home/apt,3,2,2,198,5,1.45,Other
53174283,Yes,Oakridge,Entire home,Entire home/apt,1,1,1,133,5,0.15,Other
54379117,Yes,Kitsilano,Entire condo,Entire home/apt,4,1,2,187,4.81,1.41,Kitsilano
1536019042106076200,No,Downtown,Entire rental unit,Entire home/apt,5,2,2,187,NA,NA,Downtown
42227171,Yes,Dunbar Southlands,Private room in home,Private room,2,2,1,63,4.59,2.98,Other
1176858497830446e3,Yes,Kitsilano,Other,Entire home/apt,6,1,2,315,4.93,2.63,Kitsilano
1526380275068092e3,No,Downtown,Entire rental unit,Entire home/apt,6,3,3,252,NA,NA,Downtown
54365821,Yes,Downtown,Other,Entire home/apt,6,1,2,261,NA,NA,Downtown
37261304,Yes,Downtown,Entire rental unit,Entire home/apt,2,1,1,144,5,0.04,Downtown
871327643546008800,Unknown,Downtown,Entire rental unit,Entire home/apt,4,1,1,231,4.88,2.9,Downtown
1553898733554407e3,No,Downtown,Other,Private room,1,1,1,73,NA,NA,Downtown
1075584672397259e3,No,Downtown Eastside,Entire rental unit,Entire home/apt,4,2,2,147,4.75,0.23,Downtown Eastside
1510954838415978e3,Yes,Kitsilano,Entire home,Entire home/apt,8,4.5,4,305,5,2.59,Kitsilano
845854561820158700,No,Mount Pleasant,Entire rental unit,Entire home/apt,2,1,1,90,5,0.11,Mount Pleasant
927507174828178600,No,Downtown,Other,Private room,2,1.5,1,92,5,0.04,Downtown
31941008,No,Riley Park,Entire home,Entire home/apt,10,2,3,216,4.75,2.05,Other
1168958686525571600,Yes,Marpole,Entire home,Entire home/apt,5,1,2,182,4.9,2.93,Other
1191128222840619300,Yes,Killarney,Entire rental unit,Entire home/apt,2,1,1,130,4.95,1.32,Other
29548839,Yes,Dunbar Southlands,Other,Entire home/apt,2,1,1,125,4.89,2.97,Other
37057203,Yes,Downtown Eastside,Entire condo,Entire home/apt,4,2,2,518,4.95,1.44,Downtown Eastside
3309313,Yes,Downtown,Other,Entire home/apt,6,2,2,270,4.43,0.05,Downtown
1491483730074036200,No,Downtown,Other,Private room,2,1,1,66,NA,NA,Downtown
43425616,Yes,Arbutus Ridge,Entire rental unit,Entire home/apt,4,2,2,280,4.71,0.11,Other
1703616,No,Kitsilano,Entire rental unit,Entire home/apt,4,1,1,120,4.2,0.12,Kitsilano
890660218884141700,Yes,Hastings-Sunrise,Entire home,Entire home/apt,10,4,4,413,4.81,1.6,Other
961568318415395200,No,Kensington-Cedar Cottage,Entire home,Entire home/apt,2,1,1,70,2,0.16,Other
17767948,Yes,Kensington-Cedar Cottage,Other,Entire home/apt,5,1,2,116,4.86,0.44,Other
642969025079878100,No,Sunset,Entire home,Entire home/apt,6,1,2,116,4.64,2.16,Other
1483794989468714500,No,Renfrew-Collingwood,Private room in home,Private room,2,2,1,61,4,1.58,Other
883819612588751600,Yes,Downtown,Entire condo,Entire home/apt,4,1,1,219,5,3.31,Downtown
53063850,Yes,Downtown Eastside,Other,Entire home/apt,2,1,1,129,4.98,2.62,Downtown Eastside
1373994176378380500,No,Kitsilano,Entire rental unit,Entire home/apt,2,1,1,86,4,0.15,Kitsilano
759718085882883200,Yes,Downtown,Entire condo,Entire home/apt,3,1,1,219,4.92,2.45,Downtown
1536678929352409300,No,West End,Entire rental unit,Entire home/apt,2,1,0,92,NA,NA,Other
749294924923342700,Yes,Hastings-Sunrise,Other,Entire home/apt,2,1,1,90,4.89,0.27,Other
714694178733692200,Yes,Kensington-Cedar Cottage,Other,Private room,4,1.5,2,175,4.85,1.89,Other
49506913,No,Hastings-Sunrise,Entire home,Entire home/apt,6,2,3,277,4.9,0.55,Other
7701543,Yes,Downtown,Other,Private room,2,1,1,177,4.82,2.01,Downtown
20157432,Yes,Mount Pleasant,Entire rental unit,Entire home/apt,2,1,0,77,4.86,0.21,Mount Pleasant
848541932619132800,No,Victoria-Fraserview,Private room in home,Private room,1,2,1,50,5,0.08,Other
1133285809792701700,Yes,Sunset,Entire home,Entire home/apt,6,2,3,239,4.93,2.65,Other
722988111891063800,Yes,Hastings-Sunrise,Private room in home,Private room,2,1,1,72,4.91,1.44,Other
1025477353823354100,No,Kensington-Cedar Cottage,Entire home,Entire home/apt,8,3.5,4,720,4.5,0.24,Other
813527104916953500,No,West End,Entire condo,Entire home/apt,4,2,2,440,5,1.41,Other
1408350197542469600,Yes,Kensington-Cedar Cottage,Other,Entire home/apt,4,1,2,154,4.86,3.51,Other
1485081643831220700,Unknown,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,134,NA,NA,Downtown Eastside
53479392,No,Kitsilano,Entire home,Entire home/apt,4,1,2,496,4.79,1.69,Kitsilano
1221982902027460900,Yes,Riley Park,Other,Entire home/apt,4,1,1,78,4.84,2.89,Other
646600046097231100,No,Downtown,Entire condo,Entire home/apt,3,1,1,221,5,0.22,Downtown
37150050,No,Kensington-Cedar Cottage,Other,Entire home/apt,2,1,1,81,4.49,2.5,Other
39995253,No,Downtown,Entire condo,Entire home/apt,4,1,1,135,4.79,4.55,Downtown
13999349,No,Downtown,Entire rental unit,Entire home/apt,4,2,2,200,5,0.16,Downtown
46871291,No,Kensington-Cedar Cottage,Other,Entire home/apt,4,1,2,237,4.93,0.74,Other
818776253504919300,No,Marpole,Entire rental unit,Entire home/apt,4,1,1,86,NA,NA,Other
1521629920818739e3,Yes,Downtown,Entire rental unit,Entire home/apt,4,2,2,169,5,3,Downtown
1527699461103568600,Yes,Downtown,Entire rental unit,Entire home/apt,4,1,2,190,4.5,2,Downtown
1371302094110798e3,No,Downtown,Entire rental unit,Entire home/apt,4,1,1,240,NA,NA,Downtown
54271255,Yes,Kitsilano,Entire rental unit,Entire home/apt,4,2,2,278,4.93,0.32,Kitsilano
1295927631152461600,Yes,Downtown,Entire rental unit,Entire home/apt,4,2,2,272,NA,NA,Downtown
1657214,No,Downtown Eastside,Other,Entire home/apt,2,1.5,1,250,5,0.05,Downtown Eastside
45471844,Yes,Downtown Eastside,Private room in home,Private room,2,1,1,97,4.97,6.07,Downtown Eastside
